id;num_stimulus;var_x;var_y;;
28;156;0;-16;;
28;238;14;-31;;
28;327;4;-15;;
28;352;8;-23;;
28;421;0;0;;
28;489;8;-17;;
28;672;5;-17;;
28;756;-2;-23;;
28;980;10;-16;;
29;156;0;0;;
29;238;5;-9;;
29;327;-1;-16;;
29;352;8;-16;;
29;421;14;-16;;
29;489;0;0;;
29;672;0;-28;;
29;756;3;-14;;
29;980;0;0;;
30;156;-20;-7;;
30;238;0;0;;
30;327;0;0;;
30;352;0;0;;
30;421;-8;0;;
30;489;0;0;;
30;672;0;0;;
30;756;0;0;;
30;980;-6;-17;;
31;156;-3;8;;
31;238;0;0;;
31;327;0;0;;
31;352;0;0;;
31;421;0;0;;
31;489;0;0;;
31;672;0;0;;
31;756;0;0;;
31;980;-7;-4;;
32;156;-3;-18;;
32;238;9;-13;;
32;327;0;-16;;
32;352;0;0;;
32;421;5;-8;;
32;489;0;0;;
32;672;0;0;;
32;756;0;0;;
32;980;0;0;;
33;156;9;0;;
33;238;11;-7;;
33;327;11;-7;;
33;352;0;0;;
33;421;0;0;;
33;489;9;-9;;
33;672;0;-21;;
33;756;12;-8;;
33;980;3;-15;;
34;156;0;0;;
34;238;-9;-23;;
34;327;0;0;;
34;352;0;0;;
34;421;0;0;;
34;489;0;0;;
34;672;0;0;;
34;756;0;0;;
34;980;0;0;;
35;156;0;0;;
35;238;0;0;;
35;327;0;0;;
35;352;0;0;;
35;421;0;0;;
35;489;0;0;;
35;672;0;0;;
35;756;0;0;;
35;980;0;0;;
36;156;13;-12;;
36;238;0;-8;;
36;327;0;0;;
36;352;0;0;;
36;421;0;0;;
36;489;0;0;;
36;672;0;0;;
36;756;0;0;;
36;980;0;0;;
37;156;0;0;;
37;238;0;0;;
37;327;0;0;;
37;352;9;-6;;
37;421;0;0;;
37;489;0;0;;
37;672;0;0;;
37;756;0;0;;
37;980;0;0;;
38;156;0;0;;
38;238;0;0;;
38;327;0;0;;
38;352;0;0;;
38;421;0;0;;
38;489;0;0;;
38;672;0;0;;
38;756;0;0;;
38;980;0;0;;
39;156;23;-15;;
39;238;0;0;;
39;327;0;0;;
39;352;0;0;;
39;421;9;31;;
39;489;0;0;;
39;672;0;0;;
39;756;0;0;;
39;980;0;0;;
40;156;6;-27;;
40;238;10;-27;;
40;327;0;0;;
40;352;0;-9;;
40;421;0;0;;
40;489;11;-8;;
40;672;0;0;;
40;756;0;0;;
40;980;0;0;;
41;156;0;0;;
41;238;0;-8;;
41;327;-9;-28;;
41;352;0;-10;;
41;421;-5;-10;;
41;489;0;-22;;
41;672;-10;-21;;
41;756;-3;-18;;
41;980;0;-33;;
42;156;0;0;;
42;238;-2;-12;;
42;327;0;0;;
42;352;0;-11;;
42;421;0;0;;
42;489;0;0;;
42;672;-6;-16;;
42;756;0;0;;
42;980;0;0;;
43;156;0;-14;;
43;238;9;-14;;
43;327;2;-14;;
43;352;5;-12;;
43;421;0;0;;
43;489;0;-11;;
43;672;0;-16;;
43;756;0;0;;
43;980;0;-13;;
44;156;0;0;;
44;238;-8;9;;
44;327;0;0;;
44;352;-6;14;;
44;421;0;0;;
44;489;0;0;;
44;672;0;0;;
44;756;0;0;;
44;980;0;0;;
45;156;0;0;;
45;238;0;-18;;
45;327;0;0;;
45;352;0;0;;
45;421;0;0;;
45;489;0;0;;
45;672;0;0;;
45;756;-7;-16;;
45;980;0;0;;
46;156;0;0;;
46;238;0;0;;
46;327;0;0;;
46;352;0;0;;
46;421;0;0;;
46;489;0;0;;
46;672;0;0;;
46;756;10;0;;
46;980;0;0;;
47;156;8;4;;
47;238;0;0;;
47;327;10;0;;
47;352;0;0;;
47;421;21;-3;;
47;489;0;0;;
47;672;-5;0;;
47;756;0;0;;
47;980;0;0;;
48;156;0;0;;
48;238;0;0;;
48;327;0;-20;;
48;352;1;-15;;
48;421;9;-10;;
48;489;0;-16;;
48;672;0;0;;
48;756;-12;-3;;
48;980;0;0;;
