"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe"
20,327,4,6,5,2,513,1481,1783,337,"PasEquilibre"
18,327,8,12,8,4,1504,3887,3935,1481,"PasEquilibre"
19,327,11,17,8,9,1664,6599,2775,1906,"PresqueEquilibre"
17,327,1,2,2,3,191,1229,736,364,"PasEquilibre"
15,327,9,10,12,2,2593,3450,4834,542,"PasEquilibre"
16,327,4,1,16,5,1190,673,8996,1597,"PasEquilibre"
13,327,12,6,10,3,3867,4329,4545,833,"Equilibre"
14,327,6,12,6,6,1061,3365,2940,1581,"Equilibre"
11,327,1,8,8,4,17,2463,4644,1289,"PasEquilibre"
10,327,4,6,7,2,858,2241,3613,685,"PasEquilibre"
9,327,2,5,5,2,529,1659,978,1019,"PasEquilibre"
8,327,2,5,4,2,1185,1574,3635,959,"PasEquilibre"
7,327,9,4,5,12,2075,1293,1420,2529,"PasEquilibre"
5,327,7,13,8,4,1924,3291,3026,1487,"PresqueEquilibre"
6,327,10,18,11,6,1621,5876,6543,3125,"PasEquilibre"
4,327,25,14,18,14,7014,3907,7907,3888,"PresqueEquilibre"
3,327,3,8,4,3,835,1588,1845,1187,"PasEquilibre"
2,327,3,4,5,0,821,1426,3497,0,"PasEquilibre"
37,327,4,9,3,0,644,4305,1781,0,"PasEquilibre"
36,327,1,0,4,3,237,0,913,390,"PasEquilibre"
33,327,15,16,17,6,2251,6619,9551,2176,"PasEquilibre"
32,327,6,0,5,4,1372,0,4790,830,"PasEquilibre"
31,327,5,8,10,5,1028,2353,1986,486,"PasEquilibre"
30,327,3,4,6,1,883,1275,1957,318,"PresqueEquilibre"
48,238,5,19,18,0,1765,7834,6944,0,"PasEquilibre"
47,238,2,4,4,3,1195,1699,2351,880,"Equilibre"
45,238,11,17,15,6,2854,4903,5826,4084,"Equilibre"
46,238,4,5,4,3,1798,1851,6538,788,"Equilibre"
44,238,3,5,2,2,620,955,1600,1557,"PresqueEquilibre"
43,238,8,13,12,5,3462,7923,15226,1390,"PresqueEquilibre"
42,238,5,6,7,4,1678,3586,4527,1049,"Equilibre"
41,238,5,7,5,2,1371,2255,6610,307,"Equilibre"
40,238,12,9,10,6,6242,1999,3876,2135,"Equilibre"
39,238,7,12,7,6,1933,1854,4529,4139,"Equilibre"
38,238,12,9,13,7,4513,2444,9258,1242,"Equilibre"
35,238,8,16,17,5,2412,7094,6675,705,"Equilibre"
29,238,6,2,5,2,1853,564,2889,562,"Equilibre"
28,238,4,6,5,1,2294,2054,1472,493,"Equilibre"
27,238,3,6,6,2,1781,1720,4370,849,"Equilibre"
26,238,6,8,11,1,1449,3499,5293,368,"Equilibre"
25,238,10,16,12,10,3131,5044,9889,4044,"Equilibre"
24,238,5,9,7,4,3052,5554,2830,1111,"Equilibre"
22,238,3,1,4,2,1603,672,3584,672,"Equilibre"
23,238,10,9,8,5,3909,1986,5679,2811,"PresqueEquilibre"
21,238,7,13,10,6,3660,8124,6033,1012,"Equilibre"
20,238,10,14,13,3,2427,4244,5292,1284,"PresqueEquilibre"
18,238,7,8,5,8,2271,1810,2824,1701,"Equilibre"
19,238,18,14,11,11,3367,3800,5126,2558,"Equilibre"
17,238,3,3,2,2,868,1411,524,660,"PresqueEquilibre"
15,238,6,9,7,7,1529,2445,4424,2290,"Equilibre"
16,238,5,5,9,1,2196,1799,4594,721,"Equilibre"
14,238,3,7,4,3,1717,2005,2675,1204,"Equilibre"
11,238,3,5,7,2,2995,1629,3341,841,"Equilibre"
10,238,8,6,4,5,2247,1348,2586,1355,"Equilibre"
9,238,10,12,9,11,5523,6090,9908,5197,"PresqueEquilibre"
8,238,9,12,8,8,4401,5584,8371,3152,"Equilibre"
7,238,13,14,8,8,4396,4354,3950,3053,"PresqueEquilibre"
5,238,3,17,13,5,1009,2565,5428,1145,"Equilibre"
6,238,6,9,9,3,1133,3210,3091,1381,"Equilibre"
4,238,6,10,13,4,2230,2871,12710,616,"PasEquilibre"
3,238,16,17,12,9,4611,5308,9474,3931,"PresqueEquilibre"
2,238,4,4,4,2,1488,2318,2203,668,"PresqueEquilibre"
37,238,4,4,4,4,1608,1047,2337,1056,"Equilibre"
34,238,20,22,12,9,5021,3851,3926,2891,"PasEquilibre"
33,238,6,13,11,6,2713,7389,4101,2392,"Equilibre"
32,238,2,4,3,2,193,1923,3764,573,"Equilibre"
31,238,8,11,15,1,2987,3104,7474,303,"Equilibre"
30,238,2,2,2,1,494,474,1422,213,"Equilibre"
48,352,12,18,13,5,5251,11037,5160,2148,"PasEquilibre"
47,352,5,4,3,2,1718,2408,1890,1067,"PresqueEquilibre"
45,352,14,17,15,7,5107,4386,4123,3620,"Equilibre"
46,352,6,8,5,3,1946,2568,2318,497,"Equilibre"
44,352,3,4,3,1,1051,1200,1635,1014,"Equilibre"
43,352,15,20,4,9,5543,11092,6501,3482,"PresqueEquilibre"
42,352,10,14,5,9,3672,6180,4467,3837,"Equilibre"
41,352,5,11,8,3,3163,6031,4132,807,"PresqueEquilibre"
39,352,7,18,19,4,4569,8316,2812,534,"PresqueEquilibre"
38,352,12,17,14,6,4317,7445,6791,2570,"Equilibre"
35,352,8,17,7,8,2364,10882,2825,3882,"PresqueEquilibre"
29,352,5,7,2,5,1141,2987,1174,1040,"Equilibre"
28,352,3,5,1,2,2600,4104,276,1927,"Equilibre"
27,352,4,7,4,4,1154,3102,1118,801,"Equilibre"
26,352,10,24,14,7,2274,7757,5278,1221,"PresqueEquilibre"
25,352,11,11,4,7,6005,7055,1721,2092,"Equilibre"
24,352,3,4,3,2,2093,2460,2449,1436,"Equilibre"
22,352,4,3,1,2,1288,2001,831,2011,"Equilibre"
23,352,8,7,3,4,3953,5369,1995,2737,"Equilibre"
21,352,2,7,2,5,1702,4583,890,3043,"PresqueEquilibre"
20,352,8,19,11,9,2015,6056,2616,3976,"Equilibre"
18,352,15,15,7,10,6334,9352,4459,9325,"PresqueEquilibre"
19,352,12,11,6,5,3724,5059,2870,1726,"PresqueEquilibre"
17,352,9,9,6,4,3102,1531,2271,2998,"Equilibre"
15,352,7,16,11,5,1322,6639,1783,2629,"Equilibre"
16,352,5,11,4,2,5035,7146,1706,451,"PresqueEquilibre"
14,352,5,5,4,3,1499,2686,1811,902,"PresqueEquilibre"
11,352,10,14,6,6,2715,4841,2824,1321,"PresqueEquilibre"
10,352,9,6,3,7,2686,5080,1442,3155,"PresqueEquilibre"
9,352,13,22,12,9,5254,7639,5008,4328,"PresqueEquilibre"
7,352,10,7,5,8,4859,2069,2284,4195,"Equilibre"
5,352,6,11,6,2,1414,5030,2682,853,"Equilibre"
6,352,9,15,8,4,2735,5013,2412,1833,"PresqueEquilibre"
4,352,18,17,11,7,6657,6974,7376,2260,"PasEquilibre"
