"item_id","zone","Nom_zone","num","tester_id","id_form","nb_visites","tps"
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"c19419a4-de5b-4642-b925-120bf7999f25",33,4,1073
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"6caef30c-9e58-4bd8-bf6a-e3dcac4256f1",32,1,439
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"98a2ab99-afcb-447e-ae8d-4b96b374e4d7",31,8,2065
"34359006-f70f-438e-85d0-420cf2fe6944","1","legumes",156,"4436282c-7d0f-4334-ba8d-80b7cfe2b849",30,1,866
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"131f7620-d15d-4560-86ab-564145745b9b",48,10,2397
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"b20e7a20-ca68-410c-8214-fbb92bfdfe17",47,7,1956
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,12,2914
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,10,3151
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,1,140
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,17,6084
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"14229a71-f44e-4149-9f3c-aa7415691eae",42,9,1621
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"149c1889-4e83-4153-b763-54fb60e60d99",41,21,5912
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"e433aa11-cdb7-4733-88a9-7067cf52299b",40,10,1501
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"fd0537e8-3103-47f8-9998-44570bb8a45e",39,15,3001
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"199d1269-1d8a-420a-a986-1f4f2ab4355f",38,7,4767
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"915ec45f-204b-411d-8ed7-7fdecb385e39",35,19,7629
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"e87291fb-8da5-4c7a-af30-4413737f2401",29,8,1446
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"03964ff9-d24f-4a0a-a492-3a177e16eb11",28,5,1618
"34359006-f70f-438e-85d0-420cf2fe6944","2","feculents",156,"473d2e90-02dd-483e-ad19-3966ec20050a",27,4,1123
