"item_id","num","tester_id","id_form","zone","nb_visites","tps"
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,2,2,870
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,3,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,4,1,132
"34359006-f70f-438e-85d0-420cf2fe6944",156,"a724528f-7fe6-4ad6-bba1-21cb02db2af5",43,5,2,96
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,1,1,101
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,2,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,3,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,4,1,64
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,5,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,1,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,2,1,115
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,3,1,312
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,4,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,5,1,180
"34359006-f70f-438e-85d0-420cf2fe6944",156,"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,1,3,251
"34359006-f70f-438e-85d0-420cf2fe6944",156,"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,2,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,3,1,282
"34359006-f70f-438e-85d0-420cf2fe6944",156,"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,4,1,227
"34359006-f70f-438e-85d0-420cf2fe6944",156,"c464d108-c77f-41e7-bcbc-d5855c9a7968",45,5,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"b20e7a20-ca68-410c-8214-fbb92bfdfe17",47,1,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"b20e7a20-ca68-410c-8214-fbb92bfdfe17",47,2,0,0
"34359006-f70f-438e-85d0-420cf2fe6944",156,"b20e7a20-ca68-410c-8214-fbb92bfdfe17",47,3,0,0
