"id","num_stimulus","var_x","var_y","id_tester","id_item"
"8","980",-14,-16,"54c68134-2c2a-4f2e-974b-32310830af0e","5445f170-12c1-48fc-9563-3709dd2993b0"
"9","156",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","34359006-f70f-438e-85d0-420cf2fe6944"
"9","238",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","6afda059-04a5-4308-b776-a532ed142284"
"9","327",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"9","352",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","f61f9030-d814-495d-af95-0e643697de64"
"9","421",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"9","489",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","cc2a8b56-732c-4e4c-a058-248783b68587"
"9","672",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
"9","756",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","213479f7-39af-4b83-b0e9-4ba473d27429"
"9","980",0,0,"055d198c-f8b0-47b7-9eb3-94fc57808f93","5445f170-12c1-48fc-9563-3709dd2993b0"
"10","156",16,-27,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","34359006-f70f-438e-85d0-420cf2fe6944"
"10","238",19,-43,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","6afda059-04a5-4308-b776-a532ed142284"
"10","327",15,-41,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"10","352",27,-40,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","f61f9030-d814-495d-af95-0e643697de64"
"10","421",19,-33,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"10","489",23,-46,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","cc2a8b56-732c-4e4c-a058-248783b68587"
"10","672",19,-36,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
"10","756",21,-39,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","213479f7-39af-4b83-b0e9-4ba473d27429"
"10","980",11,-51,"cea293cd-b0b1-40ea-8e71-756b3956e8ad","5445f170-12c1-48fc-9563-3709dd2993b0"
"11","156",0,-13,"de86783a-ac86-419a-a230-dad6b421fba4","34359006-f70f-438e-85d0-420cf2fe6944"
"11","238",0,0,"de86783a-ac86-419a-a230-dad6b421fba4","6afda059-04a5-4308-b776-a532ed142284"
"11","327",0,-16,"de86783a-ac86-419a-a230-dad6b421fba4","dd13fcba-0ae1-43d3-9d32-1672ed84f151"
"11","352",0,0,"de86783a-ac86-419a-a230-dad6b421fba4","f61f9030-d814-495d-af95-0e643697de64"
"11","421",0,0,"de86783a-ac86-419a-a230-dad6b421fba4","7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a"
"11","489",0,0,"de86783a-ac86-419a-a230-dad6b421fba4","cc2a8b56-732c-4e4c-a058-248783b68587"
"11","672",0,0,"de86783a-ac86-419a-a230-dad6b421fba4","20f3c152-6ebf-49db-8e1a-00eebd99feb6"
