"tester_id","id_item","pays","num_stimulus","feculents","proteines","fruits","legumes","produits_laitiers","tps_tot","pct_feculents","pct_proteines","pct_fruits","pct_legumes","pct_produits_laitiers","max","cat_max","classe"
"cc933e0b-091f-4ef4-bfc8-11f2076d4396","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",3179,2313,0,7634,0,13126,24.2191071156483,17.6215145512723,0,58.1593783330794,0,7634,"legumes","Equillibré"
"4ed0a862-3163-449b-bb48-ca8b9ce3add0","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",14108,3834,0,5021,0,22963,61.4379654226364,16.696424683186,0,21.8656098941776,0,14108,"feculents","PresqueEquillibré"
"473d2e90-02dd-483e-ad19-3966ec20050a","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",3120,281,0,835,0,4236,73.6543909348442,6.63361661945231,0,19.7119924457035,0,3120,"feculents","PresqueEquillibré"
"03964ff9-d24f-4a0a-a492-3a177e16eb11","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",3749,1047,0,2332,0,7128,52.5953984287318,14.6885521885522,0,32.7160493827161,0,3749,"feculents","PresqueEquillibré"
"e87291fb-8da5-4c7a-af30-4413737f2401","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",2552,679,0,3169,0,6400,39.875,10.609375,0,49.515625,0,3169,"legumes","PresqueEquillibré"
"915ec45f-204b-411d-8ed7-7fdecb385e39","34359006-f70f-438e-85d0-420cf2fe6944","Ukraine","156",17164,6160,0,9291,0,32615,52.6260922888242,18.8870151770658,0,28.4868925341101,0,17164,"feculents","Equillibré"
"199d1269-1d8a-420a-a986-1f4f2ab4355f","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",5685,0,4101,9628,0,19414,29.2829916555063,0,21.1239311836819,49.5930771608118,0,9628,"legumes","PresqueEquillibré"
"fd0537e8-3103-47f8-9998-44570bb8a45e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",7595,0,2261,5564,0,15420,49.254215304799,0,14.662775616083,36.083009079118,0,7595,"feculents","PresqueEquillibré"
"e433aa11-cdb7-4733-88a9-7067cf52299b","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",3432,0,1191,9011,0,13634,25.172363209623,0,8.735514155787,66.09212263459,0,9011,"legumes","PresqueEquillibré"
"149c1889-4e83-4153-b763-54fb60e60d99","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",3412,0,338,15533,0,19283,17.6943421666753,0,1.75283928849245,80.5528185448322,0,15533,"legumes","PresqueEquillibré"
"14229a71-f44e-4149-9f3c-aa7415691eae","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",1449,0,492,2496,0,4437,32.657200811359,0,11.0885733603786,56.2542258282623,0,2496,"legumes","PasEquillibré"
"a724528f-7fe6-4ad6-bba1-21cb02db2af5","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",6009,0,1790,8940,0,16739,35.8982018041699,0,10.6935898201804,53.4082083756497,0,8940,"legumes","Equillibré"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",2391,0,1828,3025,0,7244,33.0066261733849,0,25.2346769740475,41.7586968525676,0,3025,"legumes","Equillibré"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",4474,0,3185,5637,0,13296,33.6492178098676,0,23.9545728038508,42.3962093862816,0,5637,"legumes","PresqueEquillibré"
"c464d108-c77f-41e7-bcbc-d5855c9a7968","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",12861,0,6392,12709,0,31962,40.2384081096302,0,19.9987485138602,39.7628433765096,0,12861,"feculents","PresqueEquillibré"
"b20e7a20-ca68-410c-8214-fbb92bfdfe17","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",1266,0,987,2151,0,4404,28.7465940054496,0,22.4114441416894,48.841961852861,0,2151,"legumes","PresqueEquillibré"
"131f7620-d15d-4560-86ab-564145745b9b","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",8995,0,3474,10200,0,22669,39.6797388504125,0,15.3248930257179,44.9953681238696,0,10200,"legumes","PresqueEquillibré"
"131ecf76-b806-4557-b2c0-183a418357ba","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",1834,0,0,7430,0,9264,19.7970639032815,0,0,80.2029360967185,0,7430,"legumes","PresqueEquillibré"
"9560482a-f0a3-4f68-a311-03d22aedbd05","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",3049,0,2240,4733,0,10022,30.4230692476552,0,22.3508281780084,47.2261025743365,0,4733,"legumes","PasEquillibré"
"10e732f6-9a6a-474a-82e2-a4060fc8dffe","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",2490,0,185,7512,0,10187,24.4429174438009,0,1.81604005104545,73.7410425051536,0,7512,"legumes","PresqueEquillibré"
"646465ef-0ad6-44cc-bd31-de24e1487943","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",5820,0,3514,6427,0,15761,36.9265909523507,0,22.2955396231204,40.7778694245289,0,6427,"legumes","PasEquillibré"
"aa2c1d96-ec88-4bcb-8d0e-e2b0c7632af1","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",7721,0,5600,12769,0,26090,29.5937140666922,0,21.4641625143733,48.9421234189345,0,12769,"legumes","PresqueEquillibré"
"9610f0dd-ff9f-4bd4-b311-459a04f965ca","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",3516,0,921,7635,0,12072,29.1252485089463,0,7.62922465208748,63.2455268389662,0,7635,"legumes","Equillibré"
"df6523cd-3270-4298-8d6f-00aa8e9455e6","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",9622,0,6928,9669,0,26219,36.6985773675579,0,26.4235859491209,36.8778366833213,0,9669,"legumes","PresqueEquillibré"
"54c68134-2c2a-4f2e-974b-32310830af0e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland","672",5875,0,1092,7875,0,14842,39.5836140681849,0,7.35749898935453,53.0588869424606,0,7875,"legumes","PresqueEquillibré"
