"id","classe","num_stimulus"
11,"PresqueEquilibre",352
11,"Equilibre",980
10,"PresqueEquilibre",156
10,"PresqueEquilibre",672
10,"Equilibre",756
10,"PresqueEquilibre",421
10,"PresqueEquilibre",489
10,"PasEquilibre",327
10,"Equilibre",238
10,"PresqueEquilibre",352
10,"Equilibre",980
9,"PasEquilibre",156
9,"PresqueEquilibre",672
9,"Equilibre",756
9,"PasEquilibre",421
9,"Equilibre",489
9,"PasEquilibre",327
9,"PresqueEquilibre",238
9,"PresqueEquilibre",352
9,"Equilibre",980
8,"PasEquilibre",156
8,"PresqueEquilibre",672
8,"Equilibre",756
8,"Equilibre",421
8,"PresqueEquilibre",489
8,"PasEquilibre",327
8,"Equilibre",238
8,"Equilibre",980
7,"PresqueEquilibre",156
7,"PresqueEquilibre",672
7,"Equilibre",756
7,"PresqueEquilibre",421
7,"Equilibre",489
7,"PasEquilibre",327
7,"PresqueEquilibre",238
7,"Equilibre",352
7,"Equilibre",980
5,"Equilibre",156
5,"Equilibre",672
5,"Equilibre",756
5,"Equilibre",421
5,"Equilibre",489
5,"PresqueEquilibre",327
5,"Equilibre",238
5,"Equilibre",352
5,"Equilibre",980
6,"PasEquilibre",156
6,"PresqueEquilibre",672
6,"Equilibre",756
6,"PresqueEquilibre",421
6,"Equilibre",489
6,"PasEquilibre",327
6,"Equilibre",238
6,"PresqueEquilibre",352
6,"Equilibre",980
4,"Equilibre",156
4,"PasEquilibre",672
4,"Equilibre",756
4,"PresqueEquilibre",421
4,"PasEquilibre",489
4,"PresqueEquilibre",327
4,"PasEquilibre",238
4,"PasEquilibre",352
4,"Equilibre",980
3,"PresqueEquilibre",156
3,"PresqueEquilibre",672
3,"Equilibre",756
3,"PasEquilibre",421
3,"Equilibre",489
3,"PasEquilibre",327
3,"PresqueEquilibre",238
3,"Equilibre",352
3,"Equilibre",980
2,"PasEquilibre",156
2,"PresqueEquilibre",672
2,"PresqueEquilibre",756
2,"PresqueEquilibre",421
2,"Equilibre",489
2,"PasEquilibre",327
2,"PresqueEquilibre",238
2,"Equilibre",352
2,"Equilibre",980
37,"PasEquilibre",156
37,"Equilibre",672
37,"Equilibre",756
37,"Equilibre",421
37,"Equilibre",489
37,"PasEquilibre",327
37,"Equilibre",238
37,"PresqueEquilibre",352
37,"Equilibre",980
36,"PasEquilibre",156
36,"Equilibre",672
36,"Equilibre",756
36,"PasEquilibre",421
36,"PresqueEquilibre",489
36,"PasEquilibre",327
36,"PresqueEquilibre",238
36,"Equilibre",352
34,"PresqueEquilibre",672
34,"PresqueEquilibre",756
34,"PresqueEquilibre",421
34,"Equilibre",489
34,"PasEquilibre",327
34,"PasEquilibre",238
34,"PasEquilibre",352
34,"Equilibre",980
33,"PasEquilibre",156
33,"PasEquilibre",672
33,"PresqueEquilibre",756
33,"PasEquilibre",421
33,"PresqueEquilibre",489
33,"PasEquilibre",327
33,"Equilibre",238
33,"PresqueEquilibre",352
33,"PresqueEquilibre",980
32,"PresqueEquilibre",156
32,"Equilibre",672
32,"Equilibre",756
32,"Equilibre",421
32,"Equilibre",489
32,"PasEquilibre",327
32,"Equilibre",238
32,"PresqueEquilibre",352
32,"Equilibre",980
31,"PasEquilibre",156
31,"PasEquilibre",672
31,"Equilibre",756
31,"PasEquilibre",421
31,"Equilibre",489
31,"PasEquilibre",327
31,"Equilibre",238
31,"PresqueEquilibre",352
31,"Equilibre",980
30,"PasEquilibre",156
30,"PresqueEquilibre",672
30,"Equilibre",756
30,"PasEquilibre",421
30,"Equilibre",489
30,"PresqueEquilibre",327
30,"Equilibre",238
30,"Equilibre",352
30,"Equilibre",980
