"id","num_stimulus","legumes_fix","feculents_fix","proteines_fix","fruits_fix","legumes_tps","feculents_tps","proteines_tps","fruits_tps","classe","tester_id","item_id","pays","tot_fix","pct_feculents_fix","pct_proteines_fix","pct_legumes_fix","pct_fruits_fix","tot_tps","pct_feculents_tps","pct_proteines_tps","pct_legumes_tps","pct_fruits_tps"
5,672,1,1,0,1,125,812,0,812,"Equilibre","9610f0dd-ff9f-4bd4-b311-459a04f965ca","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",3,33.3333333333333,0,33.3333333333333,33.3333333333333,1749,46.4265294453974,0,7.14694110920526,46.4265294453974
7,672,3,1,0,0,726,335,0,0,"PresqueEquilibre","df6523cd-3270-4298-8d6f-00aa8e9455e6","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,25,0,75,0,1061,31.573986804901,0,68.426013195099,0
8,672,2,2,0,2,287,667,0,667,"PresqueEquilibre","54c68134-2c2a-4f2e-974b-32310830af0e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",6,33.3333333333333,0,33.3333333333333,33.3333333333333,1621,41.1474398519432,0,17.7051202961135,41.1474398519432
9,672,1,1,0,0,310,176,0,0,"PresqueEquilibre","055d198c-f8b0-47b7-9eb3-94fc57808f93","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,50,0,486,36.2139917695473,0,63.7860082304527,0
10,672,1,1,0,0,899,147,0,0,"PresqueEquilibre","cea293cd-b0b1-40ea-8e71-756b3956e8ad","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,50,0,1046,14.0535372848948,0,85.9464627151052,0
11,672,2,1,0,0,980,17,0,0,"PasEquilibre","de86783a-ac86-419a-a230-dad6b421fba4","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",3,33.3333333333333,0,66.6666666666667,0,997,1.70511534603811,0,98.2948846539619,0
14,672,1,0,0,0,301,0,0,0,"PresqueEquilibre","9f8068fd-f5cc-4e1a-946a-c9beb8b4d05a","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,301,0,0,100,0
13,672,2,1,0,1,443,366,0,366,"PresqueEquilibre","06026e76-f9a4-4fb9-877d-bcd33373cdab","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,25,0,50,25,1175,31.1489361702128,0,37.7021276595745,31.1489361702128
16,672,1,0,0,0,250,0,0,0,"Equilibre","27e050a3-45e8-4076-9c25-32be9040da4e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,250,0,0,100,0
15,672,1,1,0,1,406,218,0,218,"PresqueEquilibre","4995f6d3-50ed-427d-9cf2-4ea0b81a229c","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",3,33.3333333333333,0,33.3333333333333,33.3333333333333,842,25.8907363420428,0,48.2185273159145,25.8907363420428
17,672,0,0,0,0,0,0,0,0,"Equilibre","398e712a-fae6-451d-83c9-a7e500227e62","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",0, , , , ,0, , , , 
19,672,2,2,0,2,30,404,0,404,"PresqueEquilibre","65681129-f83c-4293-9ce3-9d1429367fd0","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",6,33.3333333333333,0,33.3333333333333,33.3333333333333,838,48.2100238663485,0,3.5799522673031,48.2100238663485
18,672,3,2,0,1,237,318,0,132,"PasEquilibre","035a43cf-cf88-4675-85e7-11eeb0b3641c","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",6,33.3333333333333,0,50,16.6666666666667,687,46.2882096069869,0,34.4978165938865,19.2139737991266
20,672,1,1,0,0,93,444,0,0,"PasEquilibre","aaf1dbcb-3748-4740-a2e0-58e7c1cb9f78","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,50,0,537,82.6815642458101,0,17.3184357541899,0
21,672,1,0,0,0,295,0,0,0,"Equilibre","bf743fbf-9be2-49a1-bf7e-0b53276e6529","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,295,0,0,100,0
23,672,1,2,0,1,355,526,0,317,"PresqueEquilibre","cd0a0a46-7676-4bf0-ad03-2e83bd565fee","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,50,0,25,25,1198,43.906510851419,0,29.6327212020033,26.4607679465776
22,672,1,1,0,0,19,596,0,0,"PasEquilibre","9577727a-fa45-4185-9778-4a56a41cf0f6","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,50,0,615,96.9105691056911,0,3.08943089430894,0
24,672,1,1,0,1,473,115,0,115,"PresqueEquilibre","073891b7-a928-4ff0-83e3-56f4d1a6315e","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",3,33.3333333333333,0,33.3333333333333,33.3333333333333,703,16.3584637268848,0,67.2830725462304,16.3584637268848
25,672,1,1,0,0,203,294,0,0,"PasEquilibre","cc933e0b-091f-4ef4-bfc8-11f2076d4396","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,50,0,497,59.1549295774648,0,40.8450704225352,0
26,672,2,2,0,1,399,755,0,442,"PasEquilibre","4ed0a862-3163-449b-bb48-ca8b9ce3add0","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",5,40,0,40,20,1596,47.3057644110276,0,25,27.6942355889724
27,672,2,2,0,1,107,450,0,284,"Equilibre","473d2e90-02dd-483e-ad19-3966ec20050a","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",5,40,0,40,20,841,53.5077288941736,0,12.7229488703924,33.769322235434
28,672,1,0,0,0,469,0,0,0,"PresqueEquilibre","03964ff9-d24f-4a0a-a492-3a177e16eb11","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,469,0,0,100,0
29,672,1,0,0,0,230,0,0,0,"PasEquilibre","e87291fb-8da5-4c7a-af30-4413737f2401","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,230,0,0,100,0
35,672,3,1,0,0,1044,317,0,0,"PresqueEquilibre","915ec45f-204b-411d-8ed7-7fdecb385e39","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",4,25,0,75,0,1361,23.2916972814107,0,76.7083027185893,0
37,672,0,1,0,1,0,634,0,634,"Equilibre","38c90b27-ea8c-4111-a922-4e81390fefab","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",2,50,0,0,50,1268,50,0,0,50
30,672,0,2,0,1,0,208,0,192,"PresqueEquilibre","4436282c-7d0f-4334-ba8d-80b7cfe2b849","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",3,66.6666666666667,0,0,33.3333333333333,400,52,0,0,48
31,672,1,0,0,0,361,0,0,0,"PasEquilibre","98a2ab99-afcb-447e-ae8d-4b96b374e4d7","20f3c152-6ebf-49db-8e1a-00eebd99feb6","Finland",1,0,0,100,0,361,0,0,100,0
