"id_tester","id","id_item","num_stimulus","pays","feculents_fix","proteines_fix","fruits_fix","legumes_fix","fix_tot","feculents_tps","proteines_tps","fruits_tps","legumes_tps","tps_tot","pct_feculents_tps","pct_proteines_tps","pct_fruits_tps","pct_legumes_tps","max","cat_max_tps","pct_feculents_fix","pct_proteines_fix","pct_fruits_fix","pct_legumes_fix","cat_max_fix"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"34359006-f70f-438e-85d0-420cf2fe6944",156,"Ukraine",22,9,0,12,43,6510,2803,0,4016,13329,48.8408732838172,21.0293345337235,0,30.1297921824593,22,"feculents",51.1627906976744,20.9302325581395,0,27.906976744186,"feculents"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"20f3c152-6ebf-49db-8e1a-00eebd99feb6",672,"Finland",13,0,8,18,39,4474,0,3185,5637,13296,33.6492178098676,0,23.9545728038508,42.3962093862816,18,"legumes",33.3333333333333,0,20.5128205128205,46.1538461538462,"legumes"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"213479f7-39af-4b83-b0e9-4ba473d27429",756,"Spain",6,5,1,5,17,1331,1062,348,1937,4678,28.4523300555793,22.7020094057289,7.43907652843095,41.4065840102608,6,"legumes",35.2941176470588,29.4117647058824,5.88235294117647,29.4117647058824,"feculents"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"7bdf6ed6-acf9-4a7b-84fe-7e4f96f9582a",421,"France",0,12,15,14,41,0,3557,4179,3758,11494,0,30.9465808247781,36.3580998781973,32.6953192970245,15,"fruits",0,29.2682926829268,36.5853658536585,34.1463414634146,"fruits"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"cc2a8b56-732c-4e4c-a058-248783b68587",489,"South Korea",7,10,0,15,32,5021,6244,0,5131,16396,30.6233227616492,38.0824591363747,0,31.2942181019761,15,"legumes",21.875,31.25,0,46.875,"legumes"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"dd13fcba-0ae1-43d3-9d32-1672ed84f151",327,"USA",6,5,1,5,17,1649,4601,318,1099,7667,21.5077605321508,60.0104343289422,4.14764575453241,14.3341593843746,6,"feculents",35.2941176470588,29.4117647058824,5.88235294117647,29.4117647058824,"feculents"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"6afda059-04a5-4308-b776-a532ed142284",238,"Italy",5,4,3,4,16,1237,6598,826,1762,10423,11.8679842655665,63.3023121941859,7.92478173270652,16.904921807541,5,"legumes",31.25,25,18.75,25,"feculents"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"f61f9030-d814-495d-af95-0e643697de64",352,"Brazil",7,5,2,6,20,2570,1967,498,1883,6918,37.149465163342,28.4330731425267,7.19861231569818,27.2188493784331,7,"feculents",35,25,10,30,"feculents"
"4f147d0e-54ac-4b89-a269-aaa7819fb0ef",46,"5445f170-12c1-48fc-9563-3709dd2993b0",980,"Greece",7,5,2,4,18,3055,2849,1228,2413,9545,32.0062860136197,29.8480880041907,12.8653745416448,25.2802514405448,7,"feculents",38.8888888888889,27.7777777777778,11.1111111111111,22.2222222222222,"feculents"
"4f5ae77c-6112-401a-93d1-3bf44bd1ccbe",44,"34359006-f70f-438e-85d0-420cf2fe6944",156,"Ukraine",3,2,0,6,11,1150,1010,0,1871,4031,28.5289010171173,25.0558174150335,0,46.4152815678492,6,"legumes",27.2727272727273,18.1818181818182,0,54.5454545454545,"legumes"
